TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Arizona,2016,1112,1985,2020,Y06,19,Arizona,P12,25-9,20.97,116.8,20,95.8,29,68.3,154,-0.038,272,6.66,63,107.9,67,101.3,54,-3.66,269,6,16.0,Arizona,P12,25-8,0.8927,116.1,17.0,96.5,40.0,69.2,151.0,-0.033,262.0,0.6304,70.0,106.1,69.0,101.3,63.0,0.3871,304.0,6.0
Ark Little Rock,2016,1114,1985,2020,X12,56,Arkansas Little Rock,SB,30-5,13.24,109.2,98,96.0,33,63.4,342,0.055999999999999994,52,-0.77,167,104.2,188,104.9,155,-0.2,171,12,47.0,Arkansas Little Rock,SB,29-4,0.7978,108.3,85.0,96.1,35.0,64.0,345.0,0.032,98.0,0.4581,199.0,102.6,237.0,104.2,171.0,0.495,188.0,12.0
Austin Peay,2016,1122,1985,2020,Y16,217,Austin Peay,OVC,18-18,-5.1,104.5,176,109.6,266,69.5,101,0.061,43,-2.92,213,105.1,149,108.0,292,-0.19,170,16,212.0,Austin Peay,OVC,18-17,0.3819,104.4,166.0,108.9,274.0,70.4,98.0,0.057999999999999996,45.0,0.4289,230.0,104.2,146.0,106.8,320.0,0.5427,133.0,16.0
Baylor,2016,1124,1985,2020,Z05,24,Baylor,B12,22-12,19.06,118.9,14,99.8,84,66.6,252,-0.012,211,11.21,11,109.7,34,98.4,2,-3.12,257,5,24.0,Baylor,B12,22-11,0.8705,116.9,13.0,99.0,72.0,67.3,255.0,0.002,174.0,0.7438,7.0,108.2,25.0,98.6,2.0,0.45899999999999996,231.0,5.0
Buffalo,2016,1138,1992,2020,Y14,138,Buffalo,MAC,20-15,2.95,105.9,158,102.9,134,72.1,27,0.044000000000000004,76,0.97,131,106.5,95,105.6,177,2.0,107,14,131.0,Buffalo,MAC,20-14,0.5727,105.1,148.0,102.5,148.0,73.0,25.0,0.055,49.0,0.5318,126.0,105.7,82.0,104.5,190.0,0.5618,105.0,14.0
Butler,2016,1139,1985,2020,X09,30,Butler,BE,22-11,17.27,118.0,15,100.7,97,67.9,178,-0.009000000000000001,201,8.1,47,108.5,62,100.4,25,-4.1,282,9,40.0,Butler,BE,21-10,0.8129,115.6,19.0,101.8,131.0,68.9,166.0,-0.004,185.0,0.637,63.0,105.9,74.0,100.9,45.0,0.415,279.0,9.0
CS Bakersfield,2016,1167,2008,2020,Z15,110,Cal St. Bakersfield,WAC,24-9,6.26,104.0,181,97.8,50,67.6,201,-0.003,179,-6.5,302,100.6,316,107.1,242,-2.99,249,15,95.0,Cal St. Bakersfield,WAC,24-8,0.6902,102.3,196.0,95.4,25.0,68.6,191.0,-0.001,177.0,0.3306,329.0,99.7,332.0,106.0,273.0,0.44799999999999995,244.0,15.0
California,2016,1143,1985,2020,Y04,28,California,P12,23-11,18.32,112.5,53,94.2,19,68.1,162,-0.053,300,7.65,52,109.4,40,101.8,70,-2.58,234,4,21.0,California,P12,23-10,0.8767,111.3,47.0,93.8,15.0,68.8,181.0,-0.051,297.0,0.6769,40.0,108.2,27.0,101.4,70.0,0.4593,230.0,4.0
Chattanooga,2016,1151,1985,2020,W12,109,Chattanooga,SC,29-6,6.5,107.5,126,101.0,104,66.3,260,0.132,4,-3.18,219,104.4,174,107.6,274,-0.04,167,12,107.0,Chattanooga,SC,29-5,0.6557,105.1,149.0,99.4,77.0,67.0,265.0,0.11900000000000001,7.0,0.4389,219.0,104.0,154.0,106.2,283.0,0.5308,148.0,12.0
Cincinnati,2016,1153,1985,2020,Z09,32,Cincinnati,Amer,22-11,17.06,111.2,70,94.1,16,64.0,333,-0.067,322,5.2,77,107.3,79,102.1,75,-1.21,197,9,31.0,Cincinnati,Amer,22-10,0.8414,107.7,97.0,93.1,8.0,65.8,320.0,-0.053,303.0,0.607,76.0,105.6,84.0,101.7,78.0,0.4685,220.0,9.0
