rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
1,Virginia,ACC,29-3,35.66,123.6,2,87.9,5,59.3,353,0.024,119,10.51,29,108.4,48,97.9,19,-2.82,248,1,2019,Virginia
2,Gonzaga,WCC,30-3,32.79,125.1,1,92.3,16,69.8,70,0.008,160,3.38,83,106.2,76,102.8,102,1.98,109,1,2019,Gonzaga
3,Duke,ACC,29-5,31.99,120.1,6,88.1,6,72.2,18,0.018,137,13.25,7,110.4,4,97.2,11,5.48,38,1,2019,Duke
4,Michigan St.,B10,28-6,31.36,121.7,4,90.4,8,67.4,182,-0.007,198,13.57,3,110.2,7,96.7,2,3.15,90,2,2019,Michigan St
5,Michigan,B10,28-6,29.44,115.5,18,86.1,2,64.4,320,-0.014,227,11.65,17,109.3,29,97.6,16,-4.94,305,2,2019,Michigan
6,North Carolina,ACC,27-6,29.17,119.9,7,90.7,10,74.3,5,0.024,117,13.68,2,110.8,2,97.1,8,5.77,33,1,2019,North Carolina
7,Kentucky,SEC,27-6,27.41,118.2,13,90.8,12,65.8,265,0.037,89,11.02,22,110,11,99,37,2.26,102,2,2019,Kentucky
8,Tennessee,SEC,29-5,26.98,122.5,3,95.5,34,67.7,155,0.038,87,10.58,27,109,32,98.5,23,1.36,124,2,2019,Tennessee
9,Texas Tech,B12,26-6,26.75,112.7,36,85.9,1,66.5,226,0.004,175,8.31,53,107.8,58,99.5,45,-5.02,307,3,2019,Texas Tech
10,Purdue,B10,23-9,26.05,121.1,5,95,32,65.6,276,-0.012,220,13.04,8,109.7,19,96.7,3,4.33,58,3,2019,Purdue
11,Virginia Tech,ACC,24-8,24.47,118.4,11,94,25,63.3,337,0.002,181,8.61,50,108.1,51,99.5,44,-6.04,326,4,2019,Virginia Tech
12,Wisconsin,B10,23-10,23.68,110.8,52,87.1,3,63.6,332,-0.026,247,13.57,4,110.3,6,96.8,5,3.56,82,5,2019,Wisconsin
13,Auburn,SEC,26-9,23.33,119.6,8,96.2,45,67.5,166,0.003,180,10.89,25,109.6,21,98.7,30,2.81,96,5,2019,Auburn
14,Florida St.,ACC,27-7,22.56,113,31,90.4,9,68.3,135,0.045,75,10.71,26,109.5,23,98.8,32,1.1,133,4,2019,Florida St
15,Houston,Amer,31-3,22.42,114.1,24,91.7,13,66.1,247,0.057,50,3.15,88,104.8,124,101.6,66,-3.81,276,3,2019,Houston
16,Iowa St.,B12,23-11,21.85,119,9,97.1,59,67.6,161,-0.051,295,10.36,31,108.8,38,98.5,22,-1.45,210,6,2019,Iowa St
17,Louisville,ACC,20-13,20.97,113.4,29,92.4,17,67.1,194,-0.054,301,13,10,110.6,3,97.6,15,6.05,28,7,2019,Louisville
18,LSU,SEC,26-6,20.97,118.5,10,97.5,62,69.9,66,0.035,93,9.49,40,108.6,41,99.1,38,3.09,93,3,2019,LSU
19,Wofford,SC,29-4,20.71,118.4,12,97.6,63,65.6,275,0.06,43,1.36,112,105.4,96,104,155,8.4,7,7,2019,Wofford
20,Kansas,B12,25-9,20.71,112.7,34,92,15,69.9,64,0.088,15,13.89,1,111.4,1,97.5,13,10.99,3,4,2019,Kansas
21,Mississippi St.,SEC,23-10,20.68,117.4,14,96.7,51,67.4,178,-0.027,248,10.46,30,110,12,99.6,46,2.49,99,5,2019,Mississippi St
22,Buffalo,MAC,31-3,20.34,114.9,19,94.6,29,73.8,9,0.041,77,2.8,93,105.2,112,102.4,91,1.58,117,6,2019,Buffalo
23,Kansas St.,B12,25-8,20.22,108,102,87.7,4,63,342,0.061,42,10.05,33,109,33,99,35,-0.5,183,4,2019,Kansas St
24,Maryland,B10,22-10,19.98,113.8,27,93.8,22,65.6,274,0.001,182,11.08,21,109.5,24,98.4,21,-4.62,298,6,2019,Maryland
25,Nevada,MWC,29-4,18.92,114,26,95.1,33,69.2,88,0.039,85,1.38,111,105.2,108,103.8,139,1.99,108,7,2019,Nevada
26,Villanova,BE,25-9,18.77,117,16,98.2,73,63.6,333,0.017,139,8.22,54,108.4,49,100.2,58,3.63,79,6,2019,Villanova
27,Marquette,BE,24-9,18.42,114.2,23,95.7,35,68.6,116,0.007,164,7.65,58,107.5,59,99.9,52,0.79,145,5,2019,Marquette
28,Florida,SEC,19-15,18.32,110.2,60,91.9,14,62.7,346,-0.072,326,11.64,18,110.4,5,98.7,31,5.39,40,10,2019,Florida
29,Clemson,ACC,19-13,17.94,108.7,90,90.7,11,66,258,-0.069,321,9.91,34,108.5,43,98.6,27,1.16,131,,2019,Clemson
30,Texas,B12,16-16,17.89,114.1,25,96.2,40,64.2,327,-0.117,350,12.57,14,110.1,10,97.6,14,5.5,37,,2019,Texas
31,Saint Mary's,WCC,22-11,17.71,114.6,21,96.9,55,62.6,347,-0.033,262,3.63,77,106.4,74,102.7,98,-0.39,180,11,2019,St Mary's CA
32,Cincinnati,Amer,28-6,17.05,111.6,46,94.5,28,63.2,338,0.06,44,4.2,73,106.3,75,102.1,85,-2.63,243,7,2019,Cincinnati
33,North Carolina St.,ACC,22-11,16.7,112.7,35,96,38,70.8,41,-0.009,204,7.15,59,106.9,66,99.8,50,-12.05,353,,2019,NC State
34,Utah St.,MWC,28-6,16.62,113,32,96.3,47,67.8,151,0.007,162,0.01,145,104.3,146,104.3,170,1.14,132,8,2019,Utah St
35,Syracuse,ACC,20-13,16.3,110.2,61,93.9,24,66.1,251,0.005,169,10.06,32,108.5,44,98.5,24,0.49,153,8,2019,Syracuse
36,Iowa,B10,22-11,15.96,117.2,15,101.2,115,69.4,82,0.057,51,10.57,28,108.4,46,97.8,18,-6.6,332,10,2019,Iowa
37,VCU,A10,25-7,15.69,104.3,172,88.6,7,68.2,136,0.004,174,1.15,117,105,115,103.8,142,3.5,85,8,2019,VCU
38,Oklahoma,B12,19-13,15.53,109.4,73,93.9,23,68.7,112,0.031,101,12.63,12,109.7,20,97,7,7.84,11,9,2019,Oklahoma
39,Nebraska,B10,18-16,15.53,112.6,38,97,57,66.3,238,-0.055,305,13.35,5,109.9,16,96.6,1,0.41,156,,2019,Nebraska
40,Penn St.,B10,14-18,15.42,109.5,72,94.1,26,67.5,168,-0.102,341,13.25,6,110.2,8,96.9,6,4.51,54,,2019,Penn St
41,Baylor,B12,19-13,15.29,113.5,28,98.2,75,65.3,291,-0.032,260,9.18,43,107.9,57,98.7,28,-4.2,289,9,2019,Baylor
42,Indiana,B10,17-15,15.28,110.1,62,94.8,30,66.4,231,-0.044,284,12.61,13,110,14,97.4,12,-0.87,194,,2019,Indiana
