adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,threeptavg,twoptavg,win14pct,ftpct,OffRebGame,DefRebGame,TO_game,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed,T2_threeptavg,T2_twoptavg,T2_win14pct,T2_ftpct,T2_OffRebGame,T2_DefRebGame,T2_TO_game,Team1Win
-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,0.0,0.0,1.0,0.0,12.0,23.0,16.0,-10.45,98.3,0.037000000000000005,68.4,-12.96,94.4,107.4,-8.09,16.0,0.0,0.0,0.0,0.0,13.0,24.0,15.0,1.0
-10.45,98.3,0.037000000000000005,68.4,-12.96,94.4,107.4,-8.09,16.0,0.0,0.0,0.0,0.0,13.0,24.0,15.0,-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,0.0,0.0,1.0,0.0,12.0,23.0,16.0,0.0
26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,0.0,0.0,0.0,0.0,15.0,27.0,14.0,1.57,101.1,0.019,64.4,-5.14,99.3,104.4,-2.29,16.0,0.0,0.0,1.0,0.0,12.0,25.0,14.0,1.0
1.57,101.1,0.019,64.4,-5.14,99.3,104.4,-2.29,16.0,0.0,0.0,1.0,0.0,12.0,25.0,14.0,26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,0.0,0.0,0.0,0.0,15.0,27.0,14.0,0.0
16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,0.0,0.0,0.0,0.0,13.0,23.0,14.0,16.72,110.9,0.005,68.3,4.83,103.4,98.6,3.33,7.0,0.0,0.0,0.0,0.0,14.0,25.0,13.0,1.0
16.72,110.9,0.005,68.3,4.83,103.4,98.6,3.33,7.0,0.0,0.0,0.0,0.0,14.0,25.0,13.0,16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,0.0,0.0,0.0,0.0,13.0,23.0,14.0,0.0
10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,0.0,0.0,1.0,0.0,10.0,23.0,18.0,17.54,112.4,0.026000000000000002,68.4,-0.19,102.5,102.7,-0.51,6.0,0.0,0.0,1.0,0.0,10.0,23.0,13.0,1.0
17.54,112.4,0.026000000000000002,68.4,-0.19,102.5,102.7,-0.51,6.0,0.0,0.0,1.0,0.0,10.0,23.0,13.0,10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,0.0,0.0,1.0,0.0,10.0,23.0,18.0,0.0
13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,0.0,0.0,0.0,0.0,11.0,24.0,14.0,13.18,111.2,-0.023,65.0,8.48,106.9,98.4,-6.48,9.0,0.0,0.0,0.0,0.0,9.0,22.0,14.0,1.0
13.18,111.2,-0.023,65.0,8.48,106.9,98.4,-6.48,9.0,0.0,0.0,0.0,0.0,9.0,22.0,14.0,13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,0.0,0.0,0.0,0.0,11.0,24.0,14.0,0.0
19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,0.0,0.0,0.0,0.0,14.0,27.0,15.0,17.68,109.4,-0.031,65.5,5.49,107.3,101.8,5.2,12.0,0.0,0.0,0.0,0.0,10.0,24.0,13.0,1.0
17.68,109.4,-0.031,65.5,5.49,107.3,101.8,5.2,12.0,0.0,0.0,0.0,0.0,10.0,24.0,13.0,19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,0.0,0.0,0.0,0.0,14.0,27.0,15.0,0.0
23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,0.0,0.0,0.0,0.0,13.0,23.0,14.0,5.96,110.6,0.031,67.1,4.39,104.6,100.2,-3.45,14.0,0.0,0.0,0.0,0.0,10.0,23.0,16.0,1.0
5.96,110.6,0.031,67.1,4.39,104.6,100.2,-3.45,14.0,0.0,0.0,0.0,0.0,10.0,23.0,16.0,23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,0.0,0.0,0.0,0.0,13.0,23.0,14.0,0.0
15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,0.0,0.0,0.0,0.0,11.0,25.0,14.0,14.69,105.0,-0.066,66.4,7.32,106.6,99.3,3.65,8.0,0.0,0.0,0.0,0.0,12.0,23.0,10.0,1.0
14.69,105.0,-0.066,66.4,7.32,106.6,99.3,3.65,8.0,0.0,0.0,0.0,0.0,12.0,23.0,10.0,15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,0.0,0.0,0.0,0.0,11.0,25.0,14.0,0.0
24.47,113.2,-0.028999999999999998,67.8,7.29,105.8,98.5,-4.18,4.0,0.0,0.0,0.0,0.0,9.0,25.0,13.0,11.75,108.0,0.035,67.2,1.09,103.1,102.0,2.09,13.0,0.0,0.0,1.0,0.0,12.0,23.0,15.0,1.0
