adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,17.7,118.0,0.036000000000000004,67.1,5.96,108.5,102.5,2.51,4.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,14.13,116.7,-0.083,71.3,5.48,107.4,101.9,0.94,11.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,14.69,116.3,0.059000000000000004,69.7,9.9,110.5,100.6,0.87,7.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,18.69,115.4,0.034,72.6,7.52,108.8,101.3,-1.86,4.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,7.31,109.5,0.006,71.4,-4.35,102.8,107.1,5.79,14.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,11.53,114.7,0.006,72.7,-0.06,105.1,105.2,3.87,13.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,19.05,116.2,-0.047,67.6,11.21,112.0,100.8,0.11,10.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,26.6,113.4,-0.019,64.5,3.46,106.9,103.4,-4.21,2.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,21.65,114.2,-0.009000000000000001,66.1,10.22,110.6,100.4,-1.91,5.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,5.16,108.7,0.035,64.9,-4.06,104.8,108.9,-7.64,13.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,16.91,115.5,-0.027999999999999997,70.8,9.4,110.8,101.4,-4.2,8.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,0.62,103.7,0.09699999999999999,69.6,-1.2,103.8,105.0,2.76,15.0
13.41,108.7,0.017,68.7,11.17,110.9,99.7,2.54,9.0,14.7,117.0,-0.063,64.5,2.11,105.6,103.5,1.33,12.0
