,adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed,Team1Win
0,-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,-10.45,98.3,0.037000000000000005,68.4,-12.96,94.4,107.4,-8.09,16.0,1.0
1,-10.45,98.3,0.037000000000000005,68.4,-12.96,94.4,107.4,-8.09,16.0,-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,0.0
2,26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,1.57,101.1,0.019,64.4,-5.14,99.3,104.4,-2.29,16.0,1.0
3,1.57,101.1,0.019,64.4,-5.14,99.3,104.4,-2.29,16.0,26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,0.0
4,16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,16.72,110.9,0.005,68.3,4.83,103.4,98.6,3.33,7.0,1.0
5,16.72,110.9,0.005,68.3,4.83,103.4,98.6,3.33,7.0,16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,0.0
6,10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,17.54,112.4,0.026000000000000002,68.4,-0.19,102.5,102.7,-0.51,6.0,1.0
7,17.54,112.4,0.026000000000000002,68.4,-0.19,102.5,102.7,-0.51,6.0,10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,0.0
8,13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,13.18,111.2,-0.023,65.0,8.48,106.9,98.4,-6.48,9.0,1.0
9,13.18,111.2,-0.023,65.0,8.48,106.9,98.4,-6.48,9.0,13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,0.0
10,19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,17.68,109.4,-0.031,65.5,5.49,107.3,101.8,5.2,12.0,1.0
11,17.68,109.4,-0.031,65.5,5.49,107.3,101.8,5.2,12.0,19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,0.0
12,23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,5.96,110.6,0.031,67.1,4.39,104.6,100.2,-3.45,14.0,1.0
13,5.96,110.6,0.031,67.1,4.39,104.6,100.2,-3.45,14.0,23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,0.0
14,15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,14.69,105.0,-0.066,66.4,7.32,106.6,99.3,3.65,8.0,1.0
15,14.69,105.0,-0.066,66.4,7.32,106.6,99.3,3.65,8.0,15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,0.0
16,24.47,113.2,-0.028999999999999998,67.8,7.29,105.8,98.5,-4.18,4.0,11.75,108.0,0.035,67.2,1.09,103.1,102.0,2.09,13.0,1.0
17,11.75,108.0,0.035,67.2,1.09,103.1,102.0,2.09,13.0,24.47,113.2,-0.028999999999999998,67.8,7.29,105.8,98.5,-4.18,4.0,0.0
18,28.62,115.0,-0.017,72.2,11.84,108.6,96.8,6.07,2.0,7.41,107.1,0.003,61.0,-2.0,101.1,103.1,-0.07,15.0,1.0
19,7.41,107.1,0.003,61.0,-2.0,101.1,103.1,-0.07,15.0,28.62,115.0,-0.017,72.2,11.84,108.6,96.8,6.07,2.0,0.0
20,21.3,120.5,0.07,65.7,7.93,106.1,98.2,-1.45,3.0,10.4,105.5,0.065,65.1,-5.57,99.0,104.5,-0.64,14.0,1.0
21,10.4,105.5,0.065,65.1,-5.57,99.0,104.5,-0.64,14.0,21.3,120.5,0.07,65.7,7.93,106.1,98.2,-1.45,3.0,0.0
22,17.32,111.5,0.043,66.9,11.14,107.1,95.9,2.97,6.0,11.76,110.3,0.063,67.8,1.97,103.5,101.5,3.35,11.0,1.0
23,11.76,110.3,0.063,67.8,1.97,103.5,101.5,3.35,11.0,17.32,111.5,0.043,66.9,11.14,107.1,95.9,2.97,6.0,0.0
24,20.31,116.5,0.009000000000000001,69.2,11.01,107.4,96.3,3.78,5.0,12.97,109.0,0.025,71.2,2.06,104.8,102.8,1.05,12.0,1.0
25,12.97,109.0,0.025,71.2,2.06,104.8,102.8,1.05,12.0,20.31,116.5,0.009000000000000001,69.2,11.01,107.4,96.3,3.78,5.0,0.0
26,23.01,112.1,0.034,62.7,9.01,106.7,97.7,-2.32,1.0,-8.59,96.4,0.115,71.7,-12.27,95.2,107.5,-0.55,16.0,1.0
27,-8.59,96.4,0.115,71.7,-12.27,95.2,107.5,-0.55,16.0,23.01,112.1,0.034,62.7,9.01,106.7,97.7,-2.32,1.0,0.0
28,14.57,109.8,0.066,65.6,7.26,106.2,98.9,3.75,4.0,8.32,104.7,0.003,70.9,3.37,104.8,101.4,6.03,13.0,1.0
29,8.32,104.7,0.003,70.9,3.37,104.8,101.4,6.03,13.0,14.57,109.8,0.066,65.6,7.26,106.2,98.9,3.75,4.0,0.0
30,13.04,107.9,-0.061,67.4,1.05,102.7,101.7,4.16,13.0,14.53,116.4,0.084,64.4,4.91,104.4,99.5,5.51,4.0,1.0
31,14.53,116.4,0.084,64.4,4.91,104.4,99.5,5.51,4.0,13.04,107.9,-0.061,67.4,1.05,102.7,101.7,4.16,13.0,0.0
32,22.07,114.4,-0.024,61.9,6.46,106.1,99.6,-1.01,5.0,8.88,111.4,0.073,66.5,-1.73,100.5,102.2,1.29,12.0,1.0
33,8.88,111.4,0.073,66.5,-1.73,100.5,102.2,1.29,12.0,22.07,114.4,-0.024,61.9,6.46,106.1,99.6,-1.01,5.0,0.0
34,13.63,107.7,0.051,66.6,8.22,106.0,97.8,-4.71,10.0,20.75,109.0,-0.049,64.1,4.6,105.0,100.4,5.8,7.0,1.0
35,20.75,109.0,-0.049,64.1,4.6,105.0,100.4,5.8,7.0,13.63,107.7,0.051,66.6,8.22,106.0,97.8,-4.71,10.0,0.0
36,16.09,115.4,0.073,58.6,4.1,104.5,100.4,1.84,12.0,21.53,107.4,-0.06,64.8,8.85,106.9,98.0,-2.62,5.0,1.0
37,21.53,107.4,-0.06,64.8,8.85,106.9,98.0,-2.62,5.0,16.09,115.4,0.073,58.6,4.1,104.5,100.4,1.84,12.0,0.0
38,22.14,116.5,0.008,65.0,8.3,105.9,97.6,-0.9,2.0,0.82,101.5,0.08800000000000001,67.2,-7.41,97.0,104.4,-2.0,15.0,1.0
39,0.82,101.5,0.08800000000000001,67.2,-7.41,97.0,104.4,-2.0,15.0,22.14,116.5,0.008,65.0,8.3,105.9,97.6,-0.9,2.0,0.0
40,14.48,113.4,0.05,63.7,10.49,107.2,96.8,9.29,7.0,14.6,110.3,-0.015,65.3,9.55,106.6,97.1,2.31,10.0,1.0
41,14.6,110.3,-0.015,65.3,9.55,106.6,97.1,2.31,10.0,14.48,113.4,0.05,63.7,10.49,107.2,96.8,9.29,7.0,0.0
42,29.18,116.5,0.051,67.7,11.2,108.6,97.4,6.77,1.0,0.46,102.9,0.071,67.0,-2.19,102.6,104.8,2.79,16.0,1.0
43,0.46,102.9,0.071,67.0,-2.19,102.6,104.8,2.79,16.0,29.18,116.5,0.051,67.7,11.2,108.6,97.4,6.77,1.0,0.0
44,22.75,115.8,-0.028999999999999998,72.5,6.8,105.4,98.6,6.01,4.0,2.65,100.7,0.171,64.4,-0.97,104.2,105.1,7.41,13.0,1.0
45,2.65,100.7,0.171,64.4,-0.97,104.2,105.1,7.41,13.0,22.75,115.8,-0.028999999999999998,72.5,6.8,105.4,98.6,6.01,4.0,0.0
46,22.0,110.9,-0.078,71.5,8.23,106.6,98.4,-5.29,6.0,14.62,109.5,-0.031,64.1,-2.47,99.2,101.7,-0.81,11.0,1.0
47,14.62,109.5,-0.031,64.1,-2.47,99.2,101.7,-0.81,11.0,22.0,110.9,-0.078,71.5,8.23,106.6,98.4,-5.29,6.0,0.0
48,20.26,110.1,-0.05,63.6,10.11,107.3,97.2,3.2,7.0,15.27,109.1,0.001,69.9,9.02,106.9,97.8,0.22,10.0,1.0
49,15.27,109.1,0.001,69.9,9.02,106.9,97.8,0.22,10.0,20.26,110.1,-0.05,63.6,10.11,107.3,97.2,3.2,7.0,0.0
50,17.67,105.9,0.003,66.7,9.08,106.3,97.2,-1.17,6.0,13.35,110.3,0.035,63.3,-1.53,100.4,101.9,3.49,11.0,1.0
51,13.35,110.3,0.035,63.3,-1.53,100.4,101.9,3.49,11.0,17.67,105.9,0.003,66.7,9.08,106.3,97.2,-1.17,6.0,0.0
52,28.61,114.8,-0.023,64.7,7.08,105.5,98.4,-8.24,2.0,-1.16,104.7,0.049,67.6,-7.45,98.9,106.3,2.39,15.0,1.0
53,-1.16,104.7,0.049,67.6,-7.45,98.9,106.3,2.39,15.0,28.61,114.8,-0.023,64.7,7.08,105.5,98.4,-8.24,2.0,0.0
54,17.42,107.0,-0.012,69.3,9.53,107.6,98.0,4.87,9.0,18.15,111.0,-0.035,67.5,6.27,104.8,98.6,-8.36,8.0,1.0
55,18.15,111.0,-0.035,67.5,6.27,104.8,98.6,-8.36,8.0,17.42,107.0,-0.012,69.3,9.53,107.6,98.0,4.87,9.0,0.0
56,23.28,114.4,0.083,71.0,10.32,106.6,96.3,-3.63,3.0,10.04,105.5,0.013999999999999999,68.1,-1.71,101.7,103.4,2.52,14.0,1.0
57,10.04,105.5,0.013999999999999999,68.1,-1.71,101.7,103.4,2.52,14.0,23.28,114.4,0.083,71.0,10.32,106.6,96.3,-3.63,3.0,0.0
58,23.49,119.3,-0.009000000000000001,69.4,10.36,107.1,96.7,2.16,1.0,-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,1.0
59,-12.35,101.2,0.11900000000000001,68.0,-6.45,98.3,104.7,11.61,16.0,23.49,119.3,-0.009000000000000001,69.4,10.36,107.1,96.7,2.16,1.0,0.0
60,14.04,106.6,0.069,62.1,5.24,106.7,101.5,1.55,9.0,14.25,111.4,0.032,71.2,5.23,105.1,99.8,-4.45,8.0,1.0
61,14.25,111.4,0.032,71.2,5.23,105.1,99.8,-4.45,8.0,14.04,106.6,0.069,62.1,5.24,106.7,101.5,1.55,9.0,0.0
62,19.87,114.5,0.073,67.7,7.83,105.8,98.0,-3.8,2.0,1.75,101.3,0.036000000000000004,75.2,-1.8,102.1,103.9,4.8,15.0,1.0
63,1.75,101.3,0.036000000000000004,75.2,-1.8,102.1,103.9,4.8,15.0,19.87,114.5,0.073,67.7,7.83,105.8,98.0,-3.8,2.0,0.0
64,19.88,113.8,0.018000000000000002,67.7,4.79,105.0,100.2,4.81,3.0,6.15,106.9,0.105,70.3,-5.2,99.3,104.5,-2.77,14.0,1.0
65,6.15,106.9,0.105,70.3,-5.2,99.3,104.5,-2.77,14.0,19.88,113.8,0.018000000000000002,67.7,4.79,105.0,100.2,4.81,3.0,0.0
66,26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,1.0
67,15.58,113.2,-0.021,66.9,3.92,104.0,100.1,5.83,9.0,26.8,115.6,-0.006999999999999999,72.7,8.69,107.2,98.5,8.19,1.0,0.0
68,19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,14.57,109.8,0.066,65.6,7.26,106.2,98.9,3.75,4.0,1.0
69,14.57,109.8,0.066,65.6,7.26,106.2,98.9,3.75,4.0,19.54,111.6,0.005,71.2,8.75,107.3,98.6,-3.48,5.0,0.0
70,23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,1.0
71,10.01,109.5,0.13699999999999998,71.7,2.06,104.3,102.3,2.86,11.0,23.75,115.0,-0.03,70.7,8.85,107.1,98.3,0.64,3.0,0.0
72,28.62,115.0,-0.017,72.2,11.84,108.6,96.8,6.07,2.0,16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,1.0
73,16.49,113.9,-0.013999999999999999,66.9,8.74,106.4,97.7,5.43,10.0,28.62,115.0,-0.017,72.2,11.84,108.6,96.8,6.07,2.0,0.0
74,21.3,120.5,0.07,65.7,7.93,106.1,98.2,-1.45,3.0,17.32,111.5,0.043,66.9,11.14,107.1,95.9,2.97,6.0,1.0
75,17.32,111.5,0.043,66.9,11.14,107.1,95.9,2.97,6.0,21.3,120.5,0.07,65.7,7.93,106.1,98.2,-1.45,3.0,0.0
76,20.31,116.5,0.009000000000000001,69.2,11.01,107.4,96.3,3.78,5.0,24.47,113.2,-0.028999999999999998,67.8,7.29,105.8,98.5,-4.18,4.0,1.0
77,24.47,113.2,-0.028999999999999998,67.8,7.29,105.8,98.5,-4.18,4.0,20.31,116.5,0.009000000000000001,69.2,11.01,107.4,96.3,3.78,5.0,0.0
78,23.01,112.1,0.034,62.7,9.01,106.7,97.7,-2.32,1.0,13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,1.0
79,13.59,109.9,0.061,65.9,7.06,106.7,99.6,0.3,8.0,23.01,112.1,0.034,62.7,9.01,106.7,97.7,-2.32,1.0,0.0
80,22.07,114.4,-0.024,61.9,6.46,106.1,99.6,-1.01,5.0,13.04,107.9,-0.061,67.4,1.05,102.7,101.7,4.16,13.0,1.0
81,13.04,107.9,-0.061,67.4,1.05,102.7,101.7,4.16,13.0,22.07,114.4,-0.024,61.9,6.46,106.1,99.6,-1.01,5.0,0.0
82,13.63,107.7,0.051,66.6,8.22,106.0,97.8,-4.71,10.0,19.87,114.5,0.073,67.7,7.83,105.8,98.0,-3.8,2.0,1.0
83,19.87,114.5,0.073,67.7,7.83,105.8,98.0,-3.8,2.0,13.63,107.7,0.051,66.6,8.22,106.0,97.8,-4.71,10.0,0.0
84,16.09,115.4,0.073,58.6,4.1,104.5,100.4,1.84,12.0,22.75,115.8,-0.028999999999999998,72.5,6.8,105.4,98.6,6.01,4.0,1.0
85,22.75,115.8,-0.028999999999999998,72.5,6.8,105.4,98.6,6.01,4.0,16.09,115.4,0.073,58.6,4.1,104.5,100.4,1.84,12.0,0.0
86,29.18,116.5,0.051,67.7,11.2,108.6,97.4,6.77,1.0,14.04,106.6,0.069,62.1,5.24,106.7,101.5,1.55,9.0,1.0
87,14.04,106.6,0.069,62.1,5.24,106.7,101.5,1.55,9.0,29.18,116.5,0.051,67.7,11.2,108.6,97.4,6.77,1.0,0.0
88,22.0,110.9,-0.078,71.5,8.23,106.6,98.4,-5.29,6.0,19.88,113.8,0.018000000000000002,67.7,4.79,105.0,100.2,4.81,3.0,1.0
89,19.88,113.8,0.018000000000000002,67.7,4.79,105.0,100.2,4.81,3.0,22.0,110.9,-0.078,71.5,8.23,106.6,98.4,-5.29,6.0,0.0
90,20.26,110.1,-0.05,63.6,10.11,107.3,97.2,3.2,7.0,22.14,116.5,0.008,65.0,8.3,105.9,97.6,-0.9,2.0,1.0
91,22.14,116.5,0.008,65.0,8.3,105.9,97.6,-0.9,2.0,20.26,110.1,-0.05,63.6,10.11,107.3,97.2,3.2,7.0,0.0
92,28.61,114.8,-0.023,64.7,7.08,105.5,98.4,-8.24,2.0,14.48,113.4,0.05,63.7,10.49,107.2,96.8,9.29,7.0,1.0
93,14.48,113.4,0.05,63.7,10.49,107.2,96.8,9.29,7.0,28.61,114.8,-0.023,64.7,7.08,105.5,98.4,-8.24,2.0,0.0
94,23.28,114.4,0.083,71.0,10.32,106.6,96.3,-3.63,3.0,17.67,105.9,0.003,66.7,9.08,106.3,97.2,-1.17,6.0,1.0
95,17.67,105.9,0.003,66.7,9.08,106.3,97.2,-1.17,6.0,23.28,114.4,0.083,71.0,10.32,106.6,96.3,-3.63,3.0,0.0
96,23.49,119.3,-0.009000000000000001,69.4,10.36,107.1,96.7,2.16,1.0,17.42,107.0,-0.012,69.3,9.53,107.6,98.0,4.87,9.0,1.0
97,17.42,107.0,-0.012,69.3,9.53,107.6,98.0,4.87,9.0,23.49,119.3,-0.009000000000000001,69.4,10.36,107.1,96.7,2.16,1.0,0.0
